term,estimate,std.error,statistic,p.value,conf.low,conf.high
(Intercept),-0.8798911387543924,1.1428298950277105,-0.7699231028018019,0.4413455086470392,-3.173589330593379,1.3454394862890062
age,0.003943307532170714,0.017266984705613716,0.22837267765046984,0.8193565283332355,-0.030121816341252473,0.03808089018398052
length_of_stay,0.017177078863596318,0.010347270089638583,1.6600590024993047,0.09690258342045065,-0.002535470348939073,0.03839121491868001
program_typePermanent Supportive Housing,0.9688070667195299,2.060060241660322,0.4702809399101417,0.638154313117189,-2.878015569691389,5.437791876292415
program_typeRapid Rehousing,0.6990506913028162,0.940765255730712,0.7430660167821025,0.45744171285203605,-1.1564693112556532,2.563584884272226
program_typeTransitional Housing,0.7043853650468133,1.0786554035142921,0.65302168120783,0.513742301100031,-1.4180938615570648,2.8507446701963643
services_received,0.09311569158434567,0.11157330597932955,0.8345696200988846,0.4039600732031181,-0.12554713606329682,0.31534981104979276
case_management_intensityLow,-0.3478118023560645,0.6362456509543487,-0.5466627580626408,0.5846104445239699,-1.62073348622811,0.8989700537568742
case_management_intensityMedium,-1.1121220815275894,0.5725868911916817,-1.9422765324106774,0.052103632415355164,-2.2861844477481457,-0.023160484826883862
prior_episodes,-0.16181066986206163,0.15342872237886632,-1.0546308888794467,0.29159417100194013,-0.4706883511875879,0.13602679851517413
